Altium Designer Pick and Place Locations
D:\_ValoTec\_Projets\_Altium\ENU-MIC-PRO2\PCB_ENU-MIC-PRO2\Project Outputs for PCB_ENU-MIC-PRO2\Pick Place for PCB_ENU-MIC-PRO2_PCB.csv

========================================================================================================================
File Design Information:

Date:       10/06/19
Time:       18:14
Revision:   1030
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R61","Resistor","TopLayer","0603-R","19.8750","9.5750","180","Resistance"
"R60","Resistor","TopLayer","0603-R","19.8750","8.3250","180","Resistance"
"R35","Resistor","BottomLayer","0603-R","7.5250","22.0500","90","Resistance"
"J2","Micro SD Card Connector","TopLayer","693071010811","16.7131","31.2200","360","WR-CRD Micro SD Card Connector Push & Push - 8 pins"
"T2","Test Point","TopLayer","TESTPIN_BLACK_small","1.4500","31.9000","90","Test point"
"T3","Test Point","TopLayer","TESTPIN_BLACK_small","4.3500","37.1250","90","Test point"
"T5","Test Point","TopLayer","TESTPIN_BLACK_small","56.9250","33.2000","90","Test point"
"T11","Test Point","TopLayer","TESTPIN_BLACK_small","33.7000","31.3250","90","Test point"
"R16","Resistor","BottomLayer","0603-R","23.7500","25.9000","270","Resistance"
"R14","Resistor","BottomLayer","2010","21.6750","27.5500","90","Resistance"
"R9","Resistor","BottomLayer","0603-R","35.8160","29.8280","180","Resistance"
"P4","Header 4","TopLayer","52418-0410","29.6221","35.8398","180","Header, 4-Pin"
"P1","Header 2","TopLayer","53261-0271","44.5210","31.1370","270","Header, 2-Pin"
"S1","SW-PB","TopLayer","EVP-AKB11A","9.3500","-2.3762","270","Switch"
"M1","POM-2244P-C33-R","TopLayer","POM-2244P-C33-R","17.4375","-1.4000","360","Microphone"
"R91","Resistor","BottomLayer","0603-R","40.4720","34.3520","180","Resistance"
"Y1","NX3215SA-32.768k","BottomLayer","XTAL-NX3215SA","23.0250","4.3250","270","Crystal 32.768kHz"
"U16","TPS63070","BottomLayer","VQFN15_2.5x3","55.3131","8.4871","180","2-V to 16-V Buck-Boost Converter"
"U14","SPBTLE-RF","TopLayer","SPBTLE-RF","4.6655","16.0000","90","Very low power module for Bluetooth Smart v4.1"
"U11","MP34DT06J","BottomLayer","HCLGA_3_x_4","28.1539","-1.7138","90","MEMS audio sensor omnidirectional digital microphone"
"U10","MP34DT06J","BottomLayer","HCLGA_3_x_4","5.1800","17.7150","90","MEMS audio sensor omnidirectional digital microphone"
"U9","MAX4466","BottomLayer","SC-70","7.9484","6.7751","360","Préamplificateur Microphone"
"U8","TLV3491","BottomLayer","SOT23-5AL","14.5502","2.0250","180","1.8V, Nanopower,  PUSH-PULL OUTPUT COMPARATOR"
"U7","M24C02-WDW6TP","BottomLayer","TSSOP-8","4.3761","27.9847","90","EEPROM Memory IC 2Kb (256 x 8) I²C 400kHz 900ns 8-TSSOP"
"U6","STM32L4A6RGT","BottomLayer","LQFP64_M_10x10mm","34.6873","7.5927","360","MCU ARM, STM32 Family STM32L4 Series Microcontrollers, ARM Cortex-M4, 32 bits, 80 MHz, 1 MB, 320 KB"
"U5","LSM6DSL","TopLayer","LGA-14_2.5x3x0.86","25.3750","10.5000","360","Module MEMS, iNEMO, Gyroscope 3 axes, Accéléromètre 3 axes, 1.71 V, 3.6 V, LGA, 14 Broche(s)"
